x,y,z,g,wa,wr
70.0,137.0,90.0,108,-4.0,90
70.0,136.0,90.0,109,-8.0,90
69.0,136.0,90.0,109,-9.0,90
68.0,137.0,90.0,110,-8.0,90
64.0,139.0,89.0,113,-4.0,90
61.0,141.0,90.0,120,1.0,90
61.0,143.0,90.0,133,7.0,90
62.0,144.0,91.0,146,12.0,90
64.0,144.0,91.0,156,16.0,90
69.0,144.0,91.0,163,17.0,90
76.0,144.0,92.0,166,15.0,90
81.0,142.0,91.0,160,10.0,90
85.0,136.0,90.0,148,3.0,90
89.0,130.0,88.0,136,-2.0,90
89.0,124.0,85.0,125,-6.0,90
89.0,119.0,82.0,120,-10.0,90
88.0,118.0,80.0,104,-13.0,90
88.0,117.0,78.0,88,-15.0,90
87.0,117.0,78.0,78,-15.0,90
85.0,117.0,77.0,70,-16.0,90
82.0,117.0,77.0,58,-16.0,90
82.0,116.0,76.0,48,-16.0,90
83.0,115.0,76.0,40,-17.0,90
83.0,113.0,76.0,34,-18.0,90
83.0,112.0,75.0,35,-18.0,90
84.0,111.0,75.0,34,-18.0,90
87.0,110.0,76.0,37,-16.0,90
89.0,108.0,77.0,45,-13.0,90
86.0,109.0,80.0,67,-10.0,90
84.0,111.0,84.0,90,-8.0,90
84.0,111.0,85.0,103,-6.0,90
84.0,111.0,87.0,113,-5.0,90
84.0,111.0,87.0,119,-5.0,90
85.0,111.0,88.0,123,-5.0,90
87.0,111.0,88.0,125,-6.0,90
88.0,108.0,88.0,125,-8.0,90
88.0,100.0,86.0,119,-13.0,90
88.0,95.0,83.0,111,-17.0,90
86.0,93.0,80.0,103,-19.0,90
86.0,92.0,78.0,87,-20.0,90
85.0,92.0,77.0,71,-21.0,90
85.0,92.0,76.0,58,-22.0,90
85.0,92.0,75.0,50,-23.0,90
85.0,92.0,75.0,44,-23.0,90
85.0,92.0,75.0,40,-23.0,90
85.0,92.0,74.0,37,-23.0,90
88.0,92.0,74.0,36,-23.0,90
86.0,89.0,76.0,40,-21.0,90
79.0,90.0,81.0,52,-18.0,90
76.0,92.0,86.0,66,-15.0,90
73.0,92.0,89.0,80,-13.0,90
72.0,91.0,92.0,90,-11.0,90
71.0,91.0,93.0,97,-10.0,90
71.0,91.0,94.0,102,-9.0,90
72.0,92.0,94.0,105,-8.0,90
73.0,92.0,95.0,107,-8.0,90
74.0,92.0,95.0,108,-8.0,90
74.0,92.0,95.0,108,-8.0,90
74.0,92.0,95.0,109,-8.0,90
79.0,93.0,95.0,108,-7.0,90
78.0,104.0,94.0,107,-4.0,90
68.0,131.0,92.0,104,0.0,90
55.0,157.0,88.0,101,5.0,90
48.0,171.0,86.0,99,8.0,90
44.0,176.0,85.0,99,9.0,90
42.0,175.0,84.0,101,5.0,90
43.0,172.0,83.0,102,0.0,90
45.0,170.0,83.0,103,-6.0,90
47.0,167.0,82.0,103,-11.0,90
48.0,161.0,82.0,103,-17.0,90
47.0,151.0,82.0,107,-26.0,90
47.0,146.0,82.0,115,-34.0,90
47.0,144.0,81.0,121,-39.0,90
48.0,144.0,81.0,125,-41.0,90
49.0,144.0,80.0,128,-41.0,90
49.0,144.0,80.0,130,-39.0,90
50.0,144.0,80.0,132,-36.0,90
