x,y,z,g,wa,wr
80.0,108.0,96.0,99,26.0,90
75.0,86.0,97.0,101,10.0,90
70.0,82.0,97.0,103,-5.0,90
70.0,84.0,97.0,104,-17.0,90
77.0,87.0,96.0,104,-24.0,90
79.0,98.0,96.0,104,-24.0,90
76.0,123.0,97.0,106,-14.0,90
65.0,142.0,98.0,107,3.0,90
62.0,147.0,98.0,107,21.0,90
66.0,144.0,98.0,107,30.0,90
70.0,139.0,98.0,106,32.0,90
73.0,130.0,98.0,106,28.0,90
75.0,113.0,99.0,107,18.0,90
75.0,107.0,99.0,108,7.0,90
77.0,106.0,99.0,108,-2.0,90
77.0,107.0,99.0,109,-6.0,90
78.0,108.0,99.0,108,-7.0,90
77.0,108.0,99.0,108,-6.0,90
77.0,109.0,99.0,108,-6.0,90
70.0,109.0,99.0,108,-5.0,90
34.0,110.0,99.0,118,-7.0,90
33.0,109.0,99.0,133,-8.0,90
58.0,109.0,100.0,142,-9.0,90
92.0,108.0,100.0,141,-13.0,90
95.0,103.0,99.0,129,-15.0,90
93.0,103.0,97.0,112,-16.0,90
89.0,103.0,96.0,96,-17.0,90
82.0,104.0,94.0,78,-17.0,90
79.0,104.0,92.0,68,-17.0,90
76.0,105.0,92.0,61,-17.0,90
72.0,105.0,91.0,56,-17.0,90
63.0,104.0,91.0,54,-16.0,90
53.0,104.0,91.0,55,-15.0,90
49.0,104.0,93.0,61,-14.0,90
46.0,100.0,98.0,74,-13.0,90
50.0,102.0,102.0,87,-12.0,90
58.0,102.0,104.0,96,-11.0,90
69.0,100.0,104.0,97,-13.0,90
71.0,96.0,101.0,88,-16.0,90
72.0,96.0,96.0,76,-18.0,90
68.0,96.0,93.0,64,-19.0,90
63.0,97.0,91.0,57,-20.0,90
57.0,96.0,91.0,54,-20.0,90
47.0,94.0,94.0,59,-18.0,90
36.0,94.0,100.0,73,-16.0,90
32.0,97.0,105.0,90,-15.0,90
39.0,98.0,109.0,105,-14.0,90
59.0,99.0,111.0,112,-14.0,90
73.0,98.0,109.0,109,-15.0,90
74.0,96.0,104.0,95,-17.0,90
75.0,96.0,100.0,82,-18.0,90
72.0,96.0,97.0,70,-19.0,90
73.0,99.0,96.0,67,-16.0,90
67.0,110.0,96.0,69,-9.0,90
62.0,122.0,97.0,71,-6.0,90
58.0,137.0,97.0,72,-4.0,90
58.0,146.0,96.0,71,-4.0,90
59.0,150.0,94.0,69,-5.0,90
60.0,151.0,93.0,68,-6.0,90
58.0,151.0,92.0,68,-8.0,90
55.0,151.0,91.0,71,-10.0,90
55.0,150.0,90.0,75,-12.0,90
58.0,148.0,90.0,79,-14.0,90
61.0,146.0,90.0,82,-16.0,90
62.0,145.0,90.0,84,-17.0,90
64.0,143.0,89.0,84,-18.0,90
65.0,141.0,89.0,83,-18.0,90
67.0,139.0,87.0,79,-18.0,90
70.0,134.0,85.0,77,-18.0,90
73.0,124.0,82.0,74,-18.0,90
74.0,115.0,79.0,71,-18.0,90
75.0,110.0,75.0,68,-19.0,90
77.0,107.0,71.0,65,-20.0,90
77.0,105.0,68.0,62,-20.0,90
76.0,104.0,66.0,60,-20.0,90
77.0,102.0,63.0,58,-21.0,90
76.0,102.0,62.0,56,-21.0,90
76.0,102.0,61.0,55,-21.0,90
76.0,102.0,60.0,54,-21.0,90
78.0,100.0,60.0,54,-21.0,90
